Preliminary CGRI Event Calendar (2021–2026),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Event_ID,Date,Event_Title,Geography,Event_Type,Hormuz_Risk,Energy_Infrastructure_Attack,Maritime_Security_Risk,Military_Escalation,Insurance_Freight_Risk,Market_Uncertainty_Component,CGRI_Event_Avg,CGRI_Event_Max,Direction,Source_Name,Source_URL,Coding_Rationale,Verification_Status
E001,44200,Iran seizes South Korean-flagged tanker in Gulf waters,Gulf of Oman / near Hormuz,Vessel seizure,2,0,3,1,2,1,1.5,3,Risk ↑,Reuters,https://www.reuters.com/world/south-korean-flagged-tanker-seized-by-iran-seoul-demands-release-2021-01-04/,Direct seizure of a commercial tanker near the Hormuz/Gulf maritime corridor; strong maritime security signal.,Verified
E002,45043,Iran seizes Marshall Islands-flagged oil tanker Advantage Sweet,Gulf of Oman / Hormuz approaches,Oil tanker seizure,2,0,3,1,2,1,1.5,3,Risk ↑,Reuters,https://www.reuters.com/world/second-oil-tanker-week-seized-by-iran-gulf-us-navy-2023-05-03/,"Oil tanker seizure in the Gulf of Oman, directly relevant to crude transport risk and Hormuz approaches.",Verified
E003,45049,"Iran seizes second oil tanker in a week, Niovi",Persian Gulf / Hormuz corridor,Oil tanker seizure,2,0,3,1,2,1,1.5,3,Risk ↑,Reuters,https://www.reuters.com/world/second-oil-tanker-week-seized-by-iran-gulf-us-navy-2023-05-03/,Second tanker seizure within one week; persistent maritime insecurity rather than isolated incident.,Verified
E004,45249,Houthi seizure of Galaxy Leader marks escalation in Red Sea shipping risk,Red Sea,Ship hijacking,0,0,3,2,2,1,1.333333333333333,3,Risk ↑,Reuters / timeline source,https://www.reuters.com/world/middle-east/houthi-attacks-shipping-red-sea-persist-us-allies-strike-back-2024-01-12/,Beginning of sustained Houthi campaign against commercial shipping; relevant to wider chokepoint risk through Red Sea/Bab el-Mandeb.,Verified
E005,45291,Houthi attack on Maersk Hangzhou and US naval clash,Red Sea,Missile attack / naval clash,0,0,2,2,2,1,1.166666666666667,2,Risk ↑,Reuters,https://www.reuters.com/world/middle-east/houthi-attacks-shipping-red-sea-persist-us-allies-strike-back-2024-01-12/,Missile attack against commercial vessel and confrontation with US forces indicate maritime and military escalation.,Verified
E006,45303,US and allies strike Houthi targets after Red Sea shipping attacks,Yemen / Red Sea,Military retaliation,0,0,2,3,2,1,1.333333333333333,3,Risk ↑,Reuters,https://www.reuters.com/world/middle-east/houthi-attacks-shipping-red-sea-persist-us-allies-strike-back-2024-01-12/,Military response to persistent shipping attacks; raises regional militarization of chokepoint security.,Verified
E007,45357,Houthi missile attack on True Confidence kills three seafarers,Gulf of Aden / Red Sea approaches,Fatal vessel attack,0,0,3,2,3,2,1.666666666666667,3,Risk ↑,Reuters,https://www.reuters.com/world/middle-east/three-missing-bulk-carrier-off-yemen-after-incident-reported-shipping-source-2024-03-06/,First fatal Houthi attack on merchant shipping; strong insurance/freight and maritime risk signal.,Verified
E008,45383,Israeli strike on Iranian consulate compound in Damascus kills IRGC commanders,Damascus / regional escalation,Military strike,1,0,0,2,1,1,0.8333333333333334,2,Risk ↑,Reuters,https://www.reuters.com/world/middle-east/israel-bombs-iran-embassy-syria-iranian-commanders-among-dead-2024-04-01/,Triggering event for direct Iran-Israel escalation; indirect but relevant to Hormuz/energy risk via regional escalation.,Verified
E009,45395,Iran seizes MSC Aries near Strait of Hormuz,Strait of Hormuz,Ship seizure,2,0,3,2,2,2,1.833333333333333,3,Risk ↑,Reuters,https://www.reuters.com/world/middle-east/iran-says-msc-aries-vessel-seized-violating-maritime-laws-2024-04-15/,Commercial vessel seized in Hormuz during escalation cycle; direct chokepoint risk.,Verified
E010,45395,Iran launches direct drone and missile attack on Israel,Iran-Israel / regional,Missile/drone attack,1,0,0,3,1,2,1.166666666666667,3,Risk ↑,Reuters,https://www.reuters.com/world/middle-east/iran-launches-drone-attack-israel-expected-unfold-over-hours-2024-04-13/,First direct Iranian attack on Israeli territory; major military escalation with energy market implications.,Verified
E011,45566,Iran launches large ballistic missile attack on Israel,Iran-Israel / regional,Ballistic missile attack,1,0,0,3,1,2,1.166666666666667,3,Risk ↑,Reuters,https://www.reuters.com/world/middle-east/iranian-missile-strike-israel-shows-capability-greater-scale-complexity-2024-10-02/,Large and complex ballistic missile attack; high regional escalation risk.,Verified
E012,45591,Israel conducts strikes on Iranian military targets,Iran,Air/missile strike,1,0,0,3,1,2,1.166666666666667,3,Risk ↑,Reuters,https://www.reuters.com/world/middle-east/israeli-military-says-it-is-conducting-precise-strikes-military-targets-iran-2024-10-25/,Israeli retaliation against military targets inside Iran; direct interstate escalation.,Verified
E013,45673,Reuters summary: Houthis targeted more than 100 merchant ships since Nov. 2023,Red Sea / Gulf of Aden,Sustained maritime campaign,0,0,2,1,2,1,1,2,Risk ↑,Reuters,https://www.reuters.com/world/middle-east/houthi-attacks-merchant-ships-red-sea-2025-01-16/,Summary marker for persistent Red Sea maritime disruption; useful for sustained-risk coding rather than a single shock day.,Verified
E014,46081,"U.S./Israel-Iran war begins, later disrupting Hormuz-linked tanker traffic",Iran / Persian Gulf,War onset,2,1,1,3,2,3,2,3,Risk ↑,Reuters,https://www.reuters.com/business/energy/vessels-carrying-middle-east-oil-lng-exit-hormuz-head-pakistan-china-2026-05-25/,Reuters later identifies Feb. 28 as start of U.S.-Israeli war on Iran; core war-onset event for 2026 extension.,Verified
E015,46091,Reports of Iranian mine deployment; U.S. says mine-laying vessels destroyed,Strait of Hormuz,Mine warfare / naval escalation,3,0,3,3,3,3,2.5,3,Risk ↑,Reuters,https://www.reuters.com/world/iran-war-live-trump-tehran-trade-threats-over-oil-blockade-2026-03-10/,Mine-laying in Strait of Hormuz is a direct closure/denial threat; maximum chokepoint and maritime risk.,Verified
E016,46118,Iran says it would not open Strait as part of temporary ceasefire,Strait of Hormuz,Closure threat / diplomatic impasse,3,0,2,2,3,2,2,3,Risk ↑,Reuters,https://www.reuters.com/business/energy/hormuz-closure-divides-fortunes-middle-eastern-oil-states-2026-04-06/,Explicit refusal to reopen Hormuz during ceasefire context; direct sustained chokepoint risk.,Verified
E017,46134,Iran seizes two container ships attempting to leave Gulf,Strait of Hormuz,Ship seizure / gunfire,3,0,3,2,3,2,2.166666666666667,3,Risk ↑,Reuters,https://www.reuters.com/world/europe/three-vessels-hit-by-gunfire-strait-hormuz-crews-safe-2026-04-22/,Seizures and gunfire at ships leaving the Gulf; direct disruption of Hormuz passage.,Verified
E018,46146,South Korean-operated vessel ablaze near Strait of Hormuz,Strait of Hormuz,Vessel incident,2,0,3,2,2,2,1.833333333333333,3,Risk ↑,Reuters,https://www.reuters.com/world/asia-pacific/south-korea-checking-whether-korean-flagged-vessel-struck-hormuz-report-says-2026-05-04/,Vessel incident in Hormuz amid U.S. operation; maritime security and market-risk relevance.,Verified
E019,46166,Reports of proposed U.S.-Iran deal including reopening Strait during ceasefire extension,Strait of Hormuz / diplomacy,De-escalation / reopening proposal,1,0,1,1,1,1,0.8333333333333334,1,Risk ↓,Reuters,https://www.reuters.com/world/asia-pacific/axios-says-proposed-us-iran-deal-involves-opening-strait-during-60-day-ceasefire-2026-05-24/,Potential reopening of Hormuz lowers risk but does not remove uncertainty; coded as residual low risk.,Verified
E020,46167,Tankers carrying Middle East oil and LNG exit Hormuz as traffic resumes,Strait of Hormuz,Partial reopening / traffic resumption,1,0,1,1,1,1,0.8333333333333334,1,Risk ↓,Reuters,https://www.reuters.com/business/energy/vessels-carrying-middle-east-oil-lng-exit-hormuz-head-pakistan-china-2026-05-25/,"Observed vessel movement indicates partial normalization; coded as low residual risk, not zero because disruption persists.",Verified
