Source_ID,Date,Event_ID,Source_Name,Source_URL,Evidence_Summary,Used_For,Reliability,Notes
S001,2021-01-04,E001,Reuters,https://www.reuters.com/world/south-korean-flagged-tanker-seized-by-iran-seoul-demands-release-2021-01-04/,Direct seizure of a commercial tanker near the Hormuz/Gulf maritime corridor; strong maritime security signal.,Vessel seizure,High,
S002,2023-04-27,E002,Reuters,https://www.reuters.com/world/second-oil-tanker-week-seized-by-iran-gulf-us-navy-2023-05-03/,"Oil tanker seizure in the Gulf of Oman, directly relevant to crude transport risk and Hormuz approaches.",Oil tanker seizure,High,
S003,2023-05-03,E003,Reuters,https://www.reuters.com/world/second-oil-tanker-week-seized-by-iran-gulf-us-navy-2023-05-03/,Second tanker seizure within one week; persistent maritime insecurity rather than isolated incident.,Oil tanker seizure,High,
S004,2023-11-19,E004,Reuters / timeline source,https://www.reuters.com/world/middle-east/houthi-attacks-shipping-red-sea-persist-us-allies-strike-back-2024-01-12/,Beginning of sustained Houthi campaign against commercial shipping; relevant to wider chokepoint risk through Red Sea/Bab el-Mandeb.,Ship hijacking,High,
S005,2023-12-31,E005,Reuters,https://www.reuters.com/world/middle-east/houthi-attacks-shipping-red-sea-persist-us-allies-strike-back-2024-01-12/,Missile attack against commercial vessel and confrontation with US forces indicate maritime and military escalation.,Missile attack / naval clash,High,
S006,2024-01-12,E006,Reuters,https://www.reuters.com/world/middle-east/houthi-attacks-shipping-red-sea-persist-us-allies-strike-back-2024-01-12/,Military response to persistent shipping attacks; raises regional militarization of chokepoint security.,Military retaliation,High,
S007,2024-03-06,E007,Reuters,https://www.reuters.com/world/middle-east/three-missing-bulk-carrier-off-yemen-after-incident-reported-shipping-source-2024-03-06/,First fatal Houthi attack on merchant shipping; strong insurance/freight and maritime risk signal.,Fatal vessel attack,High,
S008,2024-04-01,E008,Reuters,https://www.reuters.com/world/middle-east/israel-bombs-iran-embassy-syria-iranian-commanders-among-dead-2024-04-01/,Triggering event for direct Iran-Israel escalation; indirect but relevant to Hormuz/energy risk via regional escalation.,Military strike,High,
S009,2024-04-13,E009,Reuters,https://www.reuters.com/world/middle-east/iran-says-msc-aries-vessel-seized-violating-maritime-laws-2024-04-15/,Commercial vessel seized in Hormuz during escalation cycle; direct chokepoint risk.,Ship seizure,High,
S010,2024-04-13,E010,Reuters,https://www.reuters.com/world/middle-east/iran-launches-drone-attack-israel-expected-unfold-over-hours-2024-04-13/,First direct Iranian attack on Israeli territory; major military escalation with energy market implications.,Missile/drone attack,High,
S011,2024-10-01,E011,Reuters,https://www.reuters.com/world/middle-east/iranian-missile-strike-israel-shows-capability-greater-scale-complexity-2024-10-02/,Large and complex ballistic missile attack; high regional escalation risk.,Ballistic missile attack,High,
S012,2024-10-26,E012,Reuters,https://www.reuters.com/world/middle-east/israeli-military-says-it-is-conducting-precise-strikes-military-targets-iran-2024-10-25/,Israeli retaliation against military targets inside Iran; direct interstate escalation.,Air/missile strike,High,
S013,2025-01-16,E013,Reuters,https://www.reuters.com/world/middle-east/houthi-attacks-merchant-ships-red-sea-2025-01-16/,Summary marker for persistent Red Sea maritime disruption; useful for sustained-risk coding rather than a single shock day.,Sustained maritime campaign,High,
S014,2026-02-28,E014,Reuters,https://www.reuters.com/business/energy/vessels-carrying-middle-east-oil-lng-exit-hormuz-head-pakistan-china-2026-05-25/,Reuters later identifies Feb. 28 as start of U.S.-Israeli war on Iran; core war-onset event for 2026 extension.,War onset,High,
S015,2026-03-10,E015,Reuters,https://www.reuters.com/world/iran-war-live-trump-tehran-trade-threats-over-oil-blockade-2026-03-10/,Mine-laying in Strait of Hormuz is a direct closure/denial threat; maximum chokepoint and maritime risk.,Mine warfare / naval escalation,High,
S016,2026-04-06,E016,Reuters,https://www.reuters.com/business/energy/hormuz-closure-divides-fortunes-middle-eastern-oil-states-2026-04-06/,Explicit refusal to reopen Hormuz during ceasefire context; direct sustained chokepoint risk.,Closure threat / diplomatic impasse,High,
S017,2026-04-22,E017,Reuters,https://www.reuters.com/world/europe/three-vessels-hit-by-gunfire-strait-hormuz-crews-safe-2026-04-22/,Seizures and gunfire at ships leaving the Gulf; direct disruption of Hormuz passage.,Ship seizure / gunfire,High,
S018,2026-05-04,E018,Reuters,https://www.reuters.com/world/asia-pacific/south-korea-checking-whether-korean-flagged-vessel-struck-hormuz-report-says-2026-05-04/,Vessel incident in Hormuz amid U.S. operation; maritime security and market-risk relevance.,Vessel incident,High,
S019,2026-05-24,E019,Reuters,https://www.reuters.com/world/asia-pacific/axios-says-proposed-us-iran-deal-involves-opening-strait-during-60-day-ceasefire-2026-05-24/,Potential reopening of Hormuz lowers risk but does not remove uncertainty; coded as residual low risk.,De-escalation / reopening proposal,High,
S020,2026-05-25,E020,Reuters,https://www.reuters.com/business/energy/vessels-carrying-middle-east-oil-lng-exit-hormuz-head-pakistan-china-2026-05-25/,"Observed vessel movement indicates partial normalization; coded as low residual risk, not zero because disruption persists.",Partial reopening / traffic resumption,High,
