Model,Dependent,Term,Coef,Robust_SE_HC3,t,p_value,N,R2,Adj_R2
10D_China_Excluded,Financial vulnerability,CGRI_x_CCI,-1.091788621954673,0.1385487125737987,-7.880178759316333,3.269130474079952e-15,4840,0.1337731076055481,0.1310796160247195
10D_China_Excluded,Financial vulnerability,CGRI_Equal_Weighted,0.6385277457911838,0.06690364912815557,9.543989813889947,1.374405033308236e-21,4840,0.1337731076055481,0.1310796160247195
10D_China_Excluded,Financial vulnerability,CCI_Baseline_Recomputed,-41.05797219436555,3.83697026838819,-10.70062297136666,1.010962336308996e-26,4840,0.1337731076055481,0.1310796160247195
10D_China_Excluded,Abs-return vulnerability,CGRI_x_CCI,-0.4866881352020699,0.2256382577596096,-2.156939785098755,0.03101035649087623,4376,0.02527414231735814,0.02192072766936748
10D_China_Excluded,Abs-return vulnerability,CGRI_Equal_Weighted,0.3132758961644324,0.1118865584842511,2.799942195098694,0.005111175838710923,4376,0.02527414231735814,0.02192072766936748
10D_China_Excluded,Abs-return vulnerability,CCI_Baseline_Recomputed,-16.76163187899632,4.457019173278893,-3.76072689556444,0.0001694203218801642,4376,0.02527414231735814,0.02192072766936748
10D_China_Excluded,FX volatility,CGRI_x_CCI,-0.7917635907210178,0.133463807812271,-5.932421708173539,2.984987392761389e-09,4840,0.1277074529006964,0.1249951004532482
10D_China_Excluded,FX volatility,CGRI_Equal_Weighted,0.3512170408512883,0.07023998738727376,5.000243506805108,5.725795317278137e-07,4840,0.1277074529006964,0.1249951004532482
10D_China_Excluded,FX volatility,CCI_Baseline_Recomputed,-74.6346426377977,4.758536432492333,-15.68436927963311,1.934753134670577e-55,4840,0.1277074529006964,0.1249951004532482
10D_China_Excluded,Stock volatility,CGRI_x_CCI,-1.391813653188327,0.2121847862956395,-6.559441312861596,5.400974384021486e-11,4840,0.09404135864765184,0.09122432307130746
10D_China_Excluded,Stock volatility,CGRI_Equal_Weighted,0.9258384507310786,0.1022158848324099,9.057676820477125,1.332584048531508e-19,4840,0.09404135864765184,0.09122432307130746
10D_China_Excluded,Stock volatility,CCI_Baseline_Recomputed,-7.481301750933369,4.76403418985887,-1.570371129337969,0.1163287950230724,4840,0.09404135864765184,0.09122432307130746
